date,temp_max,temp_min,precipitation,avg_temp
2026-04-01,33.5,23.9,0.0,28.7
2026-04-02,33.5,23.6,0.0,28.55
2026-04-03,34.9,24.4,0.0,29.65
2026-04-04,34.6,26.0,0.1,30.3
2026-04-05,33.8,27.0,2.3,30.4
2026-04-06,34.7,25.0,0.0,29.85
2026-04-07,34.5,24.6,0.0,29.55
2026-04-08,35.5,25.2,0.0,30.35
2026-04-09,36.3,25.9,0.0,31.099999999999998
2026-04-10,36.8,25.6,0.0,31.2
2026-04-11,37.9,26.2,0.0,32.05
2026-04-12,38.2,27.2,0.0,32.7
2026-04-13,37.3,27.4,0.0,32.349999999999994
2026-04-14,38.3,27.5,0.0,32.9
2026-04-15,38.5,27.7,0.0,33.1
2026-04-16,38.4,27.4,0.0,32.9
2026-04-17,39.5,27.9,0.0,33.7
2026-04-18,39.0,27.4,0.0,33.2
2026-04-19,38.2,26.6,0.0,32.400000000000006
2026-04-20,37.1,26.6,0.0,31.85
2026-04-21,36.5,27.2,0.2,31.85
2026-04-22,37.8,26.3,0.0,32.05
2026-04-23,37.3,26.9,0.0,32.099999999999994
2026-04-24,37.7,26.4,0.0,32.05
2026-04-25,38.2,26.9,0.0,32.55
2026-04-26,37.7,27.9,0.0,32.8
2026-04-27,39.1,27.6,0.0,33.35
2026-04-28,39.3,27.3,0.0,33.3
2026-04-29,39.3,28.0,0.0,33.65
2026-04-30,38.8,29.0,0.0,33.9
2026-05-01,37.9,27.3,0.0,32.6
2026-05-02,38.8,28.2,0.0,33.5
2026-05-03,38.8,28.6,0.0,33.7
2026-05-04,38.8,26.1,0.0,32.45
2026-05-05,38.2,26.0,0.0,32.1
2026-05-06,35.8,25.5,0.0,30.65
2026-05-07,35.2,25.6,0.2,30.400000000000002
2026-05-08,34.8,25.4,0.0,30.099999999999998
2026-05-09,34.7,24.7,0.0,29.700000000000003
2026-05-10,36.2,24.7,0.2,30.450000000000003
2026-05-11,36.7,25.0,0.0,30.85
2026-05-12,36.5,26.1,2.0,31.3
2026-05-13,36.8,26.5,1.5,31.65
2026-05-14,36.8,28.5,0.3,32.65
2026-05-15,37.4,27.5,0.2,32.45
2026-05-16,37.7,29.4,1.0,33.55
2026-05-17,36.5,27.6,0.4,32.05
2026-05-18,36.7,27.8,0.6,32.25
2026-05-19,37.9,28.0,0.3,32.95
2026-05-20,38.5,28.1,0.3,33.3
2026-05-21,40.0,29.3,0.0,34.65
2026-05-22,36.8,29.3,0.2,33.05
2026-05-23,37.2,28.0,0.8,32.6
2026-05-24,37.7,26.5,0.0,32.1
2026-05-25,37.1,29.0,1.8,33.05
2026-05-26,36.9,25.1,4.1,31.0
2026-05-27,32.5,23.1,2.5,27.8
2026-05-28,36.2,26.0,0.3,31.1
2026-05-29,36.8,27.5,0.0,32.15
2026-05-30,37.0,28.2,0.0,32.6
2026-05-31,35.8,28.1,0.5,31.95
