date,time,city,temperature,humidity,wind_speed,pressure,rainfall,uv_index,air_quality,avg_daily_temp,temp_category,month,month_num,weekday
2025-01-01,00:00,Hyderabad,19.1,62,7.7,1018.4,0.0,0,108,21.6,Mild,January,1,Wednesday
2025-01-01,01:00,Mumbai,15.5,86,9.6,1019.4,0.0,0,131,21.6,Mild,January,1,Wednesday
2025-01-01,02:00,Delhi,16.6,56,5.8,1014.0,0.0,0,171,21.6,Mild,January,1,Wednesday
2025-01-01,03:00,Bangalore,14.2,81,8.2,1016.9,0.0,0,94,21.6,Cold,January,1,Wednesday
2025-01-01,04:00,Chennai,23.1,72,9.1,1015.8,0.0,0,97,21.6,Mild,January,1,Wednesday
2025-01-01,05:00,Hyderabad,22.5,60,4.3,1018.1,0.0,0,118,21.6,Mild,January,1,Wednesday
2025-01-01,06:00,Mumbai,24.9,67,10.5,1011.5,0.0,0,132,21.6,Mild,January,1,Wednesday
2025-01-01,07:00,Delhi,21.5,53,8.1,1016.9,0.0,0,181,21.6,Mild,January,1,Wednesday
2025-01-01,08:00,Bangalore,21.0,69,7.2,1022.7,0.0,2,115,21.6,Mild,January,1,Wednesday
2025-01-01,09:00,Chennai,27.3,67,1.4,1020.0,0.0,2,123,21.6,Warm,January,1,Wednesday
2025-01-01,10:00,Hyderabad,30.4,47,8.1,1013.6,0.0,4,143,21.6,Warm,January,1,Wednesday
2025-01-01,11:00,Mumbai,30.5,66,6.3,1016.9,0.0,6,123,21.6,Warm,January,1,Wednesday
2025-01-01,12:00,Delhi,23.9,53,5.8,1013.9,0.0,7,182,21.6,Mild,January,1,Wednesday
2025-01-01,13:00,Bangalore,23.5,82,6.7,1014.9,0.0,6,115,21.6,Mild,January,1,Wednesday
2025-01-01,14:00,Chennai,27.1,65,10.7,1015.0,0.0,3,109,21.6,Warm,January,1,Wednesday
2025-01-01,15:00,Hyderabad,26.8,56,7.2,1009.5,0.0,3,137,21.6,Warm,January,1,Wednesday
2025-01-01,16:00,Mumbai,25.2,77,0.9,1016.6,0.0,2,144,21.6,Warm,January,1,Wednesday
2025-01-01,17:00,Delhi,20.6,62,9.7,1014.0,0.0,0,200,21.6,Mild,January,1,Wednesday
2025-01-01,18:00,Bangalore,17.0,64,8.7,1013.3,8.2,1,123,21.6,Mild,January,1,Wednesday
2025-01-01,19:00,Chennai,22.7,67,7.6,1016.2,0.0,0,134,21.6,Mild,January,1,Wednesday
2025-01-01,20:00,Hyderabad,20.4,60,8.1,1016.2,0.0,0,114,21.6,Mild,January,1,Wednesday
2025-01-01,21:00,Mumbai,16.4,81,7.4,1023.1,0.0,0,133,21.6,Mild,January,1,Wednesday
2025-01-01,22:00,Delhi,16.1,55,6.0,1013.5,0.0,0,226,21.6,Mild,January,1,Wednesday
2025-01-01,23:00,Bangalore,11.5,77,9.6,1020.0,0.0,0,97,21.6,Cold,January,1,Wednesday
2025-01-02,00:00,Chennai,17.8,78,9.1,1015.2,0.0,0,108,21.8,Mild,January,1,Thursday
2025-01-02,01:00,Hyderabad,20.2,61,8.3,1020.4,0.0,0,138,21.8,Mild,January,1,Thursday
2025-01-02,02:00,Mumbai,21.7,71,6.5,1016.7,0.0,0,108,21.8,Mild,January,1,Thursday
2025-01-02,03:00,Delhi,18.0,57,5.0,1018.2,0.0,0,173,21.8,Mild,January,1,Thursday
2025-01-02,04:00,Bangalore,13.0,77,9.8,1014.9,0.0,0,125,21.8,Cold,January,1,Thursday
2025-01-02,05:00,Chennai,23.8,78,5.9,1016.0,0.0,0,126,21.8,Mild,January,1,Thursday
2025-01-02,06:00,Hyderabad,24.7,63,5.1,1025.4,0.0,0,146,21.8,Mild,January,1,Thursday
2025-01-02,07:00,Mumbai,24.5,76,6.5,1012.6,0.0,1,140,21.8,Mild,January,1,Thursday
2025-01-02,08:00,Delhi,23.2,54,7.8,1015.7,0.0,1,242,21.8,Mild,January,1,Thursday
2025-01-02,09:00,Bangalore,21.2,59,6.4,1017.1,0.0,3,106,21.8,Mild,January,1,Thursday
2025-01-02,10:00,Chennai,27.1,70,7.0,1010.8,0.0,4,146,21.8,Warm,January,1,Thursday
2025-01-02,11:00,Hyderabad,32.3,55,8.9,1008.6,0.0,5,138,21.8,Warm,January,1,Thursday
2025-01-02,12:00,Mumbai,29.6,70,12.0,1010.8,0.0,6,102,21.8,Warm,January,1,Thursday
2025-01-02,13:00,Delhi,23.0,52,12.6,1015.3,0.0,6,186,21.8,Mild,January,1,Thursday
2025-01-02,14:00,Bangalore,22.9,65,6.8,1004.7,0.0,5,112,21.8,Mild,January,1,Thursday
2025-01-02,15:00,Chennai,26.1,70,14.9,1018.7,0.0,2,127,21.8,Warm,January,1,Thursday
2025-01-02,16:00,Hyderabad,27.8,54,4.0,1018.0,20.4,2,114,21.8,Warm,January,1,Thursday
2025-01-02,17:00,Mumbai,24.8,76,7.4,1015.6,0.0,1,142,21.8,Mild,January,1,Thursday
2025-01-02,18:00,Delhi,19.9,52,6.0,1014.5,0.0,0,224,21.8,Mild,January,1,Thursday
2025-01-02,19:00,Bangalore,14.0,77,9.7,1017.8,0.0,0,120,21.8,Cold,January,1,Thursday
2025-01-02,20:00,Chennai,18.9,73,7.8,1012.5,0.0,0,134,21.8,Mild,January,1,Thursday
2025-01-02,21:00,Hyderabad,19.9,71,3.6,1010.6,0.0,0,113,21.8,Mild,January,1,Thursday
2025-01-02,22:00,Mumbai,18.3,81,5.7,1022.5,0.0,0,146,21.8,Mild,January,1,Thursday
2025-01-02,23:00,Delhi,11.7,60,10.2,1022.7,0.0,0,202,21.8,Cold,January,1,Thursday
2025-01-03,00:00,Bangalore,11.6,78,11.9,1024.2,0.0,0,126,21.4,Cold,January,1,Friday
2025-01-03,01:00,Chennai,18.4,78,7.5,1016.3,0.0,0,104,21.4,Mild,January,1,Friday
2025-01-03,02:00,Hyderabad,21.6,52,8.9,1013.3,0.0,0,138,21.4,Mild,January,1,Friday
2025-01-03,03:00,Mumbai,22.1,78,6.3,1016.7,0.0,0,117,21.4,Mild,January,1,Friday
2025-01-03,04:00,Delhi,18.2,50,9.9,1016.8,0.0,0,210,21.4,Mild,January,1,Friday
2025-01-03,05:00,Bangalore,15.2,70,12.2,1010.6,0.0,0,124,21.4,Mild,January,1,Friday
2025-01-03,06:00,Chennai,25.2,70,9.8,1014.1,0.0,0,120,21.4,Warm,January,1,Friday
2025-01-03,07:00,Hyderabad,24.5,62,6.4,1018.4,0.0,0,130,21.4,Mild,January,1,Friday
2025-01-03,08:00,Mumbai,26.1,80,14.8,1014.2,0.0,2,125,21.4,Warm,January,1,Friday
2025-01-03,09:00,Delhi,22.8,46,12.0,1017.0,0.0,3,226,21.4,Mild,January,1,Friday
2025-01-03,10:00,Bangalore,22.8,61,6.9,1018.0,0.0,4,126,21.4,Mild,January,1,Friday
2025-01-03,11:00,Chennai,25.1,77,5.1,1008.7,0.0,5,129,21.4,Warm,January,1,Friday
2025-01-03,12:00,Hyderabad,30.2,54,4.4,1014.6,0.0,6,122,21.4,Warm,January,1,Friday
2025-01-03,13:00,Mumbai,27.4,77,12.4,1010.7,0.0,6,137,21.4,Warm,January,1,Friday
2025-01-03,14:00,Delhi,21.8,48,10.1,1010.9,0.0,4,197,21.4,Mild,January,1,Friday
2025-01-03,15:00,Bangalore,21.8,67,2.2,1016.4,0.0,3,113,21.4,Mild,January,1,Friday
2025-01-03,16:00,Chennai,25.3,79,5.8,1014.5,0.0,3,115,21.4,Warm,January,1,Friday
